Bleu-1,Image,PredCap,Score
0.840896415,210686241_b8e069fff3, आदमी पानी के माध्यम से चल रहा है। ,Good
0.680374933,2785108434_cd4a1c949c, आदमी पानी के माध्यम से चल रहा है। ,Good
0.638943104,1800601130_1c0f248d12, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.607679581,3244586044_205d5ae2ba, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Good
0.594603558,401476986_73918145a3, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.594603558,3108378861_d2214d971e, आदमी पानी के माध्यम से चल रहा है। ,Bad
0.567850472,3276895962_c053263d01, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.547518254,250892549_1e06a06a78, कुत्ता बर्फ में खड़ा है। ,Average
0.538772222,1189977786_4f5aaed773, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Bad
0.510995581,3443853670_6c79fcfcb2, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.510995581,2157003092_eaeb977789, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.5,3296715418_29542dcdc2, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.4961683,2837908308_8bc25c6b02, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Good
0.483269783,3484832904_08619300d9, फुटबॉल खिलाड़ी गेंद को पकड़ने के लिए तैयार हो जाता है। ,Average
0.481097729,3668984985_b60ceb2ae9, आदमी पानी के माध्यम से चल रहा है। ,Average
0.479878207,252578659_9e404b6430, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.466590431,1095580424_76f0aa8a3e, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.427287006,2281075738_230892b241, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.427287006,1937104503_313d22a2d0, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.421133537,2476214153_99a3998509, लाल रंग में आदमी अपने सिर पर फुटबॉल की गेंद को पकड़ने के लिए तैयार हो जाता है। ,Good
0.417226145,3373946160_1c82d54442, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.411133617,3729405438_6e79077ab2, आदमी अपनी बाइक पर चाल करता है। ,Very Good
0.411133617,3249278583_95cd8206da, आदमी अपनी बाइक पर चाल करता है। ,Average
0.394588126,263522013_d118d46b2d, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.388272678,487894806_352d9b5e66, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.382602942,3252457866_b86614064c, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.37707946,2171891283_dedd9cf416, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.370972331,987907964_5a06a63609, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.367205627,3636796219_9916c0465a, फुटबॉल खिलाड़ी गेंद को पकड़ने के लिए तैयार हो जाता है। ,Average
0.361328441,3036596725_541bbe0955, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.361328441,2181846120_3744ca3942, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Bad
0.345315555,2164363131_6930455d45, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.337645911,3329777647_5e1fd503ac, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.337645911,3165750962_e2e3843679, भूरे रंग का कुत्ता बर्फ में चलता है। ,Average
0.335689193,3412450683_7da035f2de, कुत्ता पानी में पानी के माध्यम से चल रहा है। ,Bad
0.331579615,812196663_0c969970b5, आदमी पानी के किनारे पानी में पानी के माध्यम से पानी में कूद रहा है। ,Average
0.326497103,401079494_562454c4d6, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Average
0.326497103,2335634931_7e9e8c2959, कुत्ता अपने मुंह में घास के माध्यम से चल रहा है। ,Bad
